pos,AT%,score,A3993,A3996
2839700_2839800,52.0,442,442,0
4167500_4167600,68.0,442,0,442
158400_158500,60.0,441,20,1
1967500_1967600,57.0,441,441,0
2309700_2309800,41.0,441,441,0
2777300_2777400,43.0,441,15,6
4259400_4259500,62.0,441,441,0
3828600_3828700,49.0,440,440,0
3233000_3233100,41.0,439,439,0
4421900_4422000,48.0,439,439,0
1128100_1128200,58.0,438,438,0
3518900_3519000,71.0,436,436,0
3953500_3953600,74.0,436,0,436
4505200_4505300,53.0,434,434,0
3443700_3443800,40.0,433,433,0
2171200_2171300,57.0,432,432,0
3818000_3818100,56.0,432,432,0
3578600_3578700,62.0,431,431,0
3651600_3651700,47.0,431,0,431
2715200_2715300,46.0,430,430,0
3399800_3399900,49.0,430,430,0
4467000_4467100,45.0,430,430,0
1055000_1055100,61.0,429,429,0
2165500_2165600,62.0,429,429,0
2490900_2491000,52.0,429,429,0
3768800_3768900,45.0,429,0,429
4035700_4035800,54.0,429,429,0
1293600_1293700,52.0,428,428,0
3350400_3350500,51.0,428,0,428
1527300_1527400,58.0,427,427,0
240600_240700,56.0,427,0,427
2640200_2640300,41.0,427,0,427
4183300_4183400,60.0,427,427,0
3447100_3447200,72.0,426,0,426
1955700_1955800,47.0,425,0,425
3905600_3905700,38.0,425,0,425
4017900_4018000,57.0,425,425,0
647000_647100,55.0,425,425,0
2331300_2331400,43.0,424,424,0
3660800_3660900,36.0,424,424,0
2747200_2747300,48.0,423,0,423
3229200_3229300,55.0,423,423,0
3391200_3391300,54.0,423,0,423
3754500_3754600,45.0,423,423,0
791900_792000,53.0,423,423,0
267200_267300,56.0,421,421,0
4302100_4302200,53.0,421,421,0
740300_740400,55.0,421,421,0
1830900_1831000,41.0,420,0,420
2454000_2454100,46.0,420,420,0
2172000_2172100,50.0,419,0,419
2478200_2478300,46.0,419,0,419
3902100_3902200,53.0,419,419,0
1310300_1310400,51.0,417,417,0
1643200_1643300,56.0,417,0,417
711200_711300,53.0,417,417,0
4292100_4292200,44.0,416,416,0
4465200_4465300,60.0,416,416,0
4551100_4551200,57.0,416,416,0
869800_869900,47.0,416,0,416
1396500_1396600,48.0,415,415,0
3188800_3188900,48.0,415,415,0
3344700_3344800,48.0,415,0,415
3931900_3932000,54.0,415,0,415
1935500_1935600,49.0,414,414,0
2371000_2371100,55.0,414,414,0
2770800_2770900,55.0,414,414,0
3158900_3159000,51.0,414,414,0
3799600_3799700,51.0,414,414,0
3893500_3893600,49.0,414,414,0
1163200_1163300,47.0,413,413,0
4268700_4268800,52.0,412,0,412
2219400_2219500,45.0,411,411,0
2455200_2455300,45.0,411,411,0
302000_302100,57.0,411,411,0
359400_359500,65.0,411,411,0
3707000_3707100,56.0,411,411,0
4555000_4555100,48.0,411,411,0
952400_952500,55.0,411,411,0
3006500_3006600,47.0,410,410,0
4337200_4337300,47.0,410,0,410
839100_839200,46.0,410,410,0
1177100_1177200,46.0,409,409,0
1038300_1038400,44.0,408,408,0
1274600_1274700,44.0,408,408,0
2940100_2940200,49.0,408,408,0
3094500_3094600,54.0,408,0,408
3328400_3328500,52.0,408,0,408
1576600_1576700,50.0,407,0,407
3449200_3449300,51.0,407,0,407
3730200_3730300,60.0,407,407,0
1365700_1365800,57.0,406,406,0
1857100_1857200,50.0,406,406,0
3794900_3795000,50.0,406,406,0
3416000_3416100,45.0,404,404,0
3782100_3782200,52.0,404,0,404
945900_946000,64.0,404,0,404
1219400_1219500,53.0,403,403,0
2635200_2635300,56.0,403,403,0
4289600_4289700,63.0,403,403,0
4469700_4469800,46.0,403,403,0
905000_905100,50.0,403,403,0
1065200_1065300,44.0,402,402,0
2685100_2685200,48.0,402,402,0
2913000_2913100,52.0,402,0,402
294800_294900,67.0,402,0,402
3906300_3906400,49.0,402,402,0
1128300_1128400,45.0,401,401,0
308400_308500,51.0,401,0,401
3418400_3418500,66.0,401,401,0
1212700_1212800,58.0,400,400,0
2684600_2684700,43.0,400,0,400
2936700_2936800,46.0,400,400,0
4219900_4220000,53.0,400,0,400
4418200_4418300,37.0,400,0,400
931100_931200,59.0,400,400,0
2431600_2431700,49.0,399,399,0
930200_930300,48.0,399,0,399
2701000_2701100,42.0,398,398,0
2716300_2716400,53.0,398,398,0
3713200_3713300,41.0,398,0,398
1696300_1696400,52.0,397,397,0
3403500_3403600,49.0,397,397,0
3893600_3893700,71.0,397,0,397
449600_449700,61.0,397,397,0
1688400_1688500,40.0,396,0,396
3563500_3563600,55.0,396,396,0
281500_281600,66.0,395,395,0
2999400_2999500,46.0,395,0,395
3152300_3152400,52.0,395,395,0
1481100_1481200,68.0,394,0,394
4146800_4146900,43.0,394,394,0
4389900_4390000,64.0,394,394,0
444900_445000,38.0,394,394,0
2662500_2662600,46.0,393,393,0
3465100_3465200,45.0,393,0,393
4313300_4313400,45.0,393,393,0
4318800_4318900,61.0,393,393,0
1298400_1298500,53.0,392,392,0
1883800_1883900,47.0,392,392,0
3515900_3516000,59.0,391,391,0
3594400_3594500,55.0,391,0,391
1241500_1241600,49.0,390,0,390
2570600_2570700,54.0,390,0,390
4473400_4473500,42.0,389,0,389
539900_540000,58.0,389,389,0
70500_70600,46.0,389,0,389
4194700_4194800,53.0,386,386,0
1260200_1260300,69.0,383,0,383
1972600_1972700,69.0,383,0,383
2099300_2099400,59.0,383,383,0
2951400_2951500,45.0,383,383,0
4143400_4143500,31.0,383,383,0
4399800_4399900,39.0,383,0,383
2091600_2091700,53.0,382,382,0
3049300_3049400,48.0,382,382,0
1912200_1912300,49.0,381,381,0
2608100_2608200,54.0,381,381,0
3104700_3104800,49.0,381,381,0
3794300_3794400,57.0,381,0,381
390200_390300,48.0,381,0,381
225500_225600,56.0,380,0,380
2669700_2669800,46.0,380,380,0
3889100_3889200,52.0,380,380,0
523600_523700,52.0,380,0,380
1243900_1244000,58.0,379,379,0
1854500_1854600,57.0,379,379,0
2947300_2947400,50.0,379,379,0
4511000_4511100,39.0,379,379,0
781900_782000,47.0,379,379,0
1407300_1407400,62.0,378,0,378
21100_21200,60.0,378,378,0
3218000_3218100,47.0,378,378,0
1428500_1428600,58.0,377,377,0
1105800_1105900,59.0,376,0,376
2337200_2337300,63.0,376,376,0
384600_384700,59.0,376,376,0
4049000_4049100,41.0,376,0,376
1244500_1244600,68.0,375,375,0
240400_240500,53.0,375,375,0
4122000_4122100,57.0,375,0,375
4250900_4251000,50.0,375,375,0
155500_155600,60.0,374,374,0
3108900_3109000,49.0,374,374,0
1496700_1496800,45.0,373,373,0
2861100_2861200,51.0,373,373,0
341800_341900,43.0,373,373,0
236900_237000,58.0,372,0,372
2673900_2674000,49.0,372,372,0
579000_579100,54.0,372,372,0
729200_729300,54.0,372,372,0
1738500_1738600,49.0,371,371,0
3190200_3190300,69.0,371,371,0
3726800_3726900,64.0,371,371,0
4439400_4439500,47.0,371,0,371
4448000_4448100,67.0,371,371,0
621600_621700,58.0,371,371,0
20700_20800,57.0,370,370,0
2922200_2922300,45.0,370,370,0
3876600_3876700,62.0,370,370,0
2154300_2154400,62.0,369,0,369
2651300_2651400,55.0,369,369,0
1954800_1954900,52.0,368,368,0
2453400_2453500,44.0,368,0,368
3392300_3392400,61.0,368,368,0
3476200_3476300,48.0,368,0,368
3874100_3874200,51.0,368,368,0
1172500_1172600,46.0,367,367,0
158900_159000,61.0,367,0,367
2779200_2779300,50.0,367,367,0
335300_335400,43.0,367,0,367
3668100_3668200,60.0,367,367,0
373700_373800,52.0,367,367,0
4020600_4020700,57.0,367,367,0
2199000_2199100,43.0,366,366,0
1329300_1329400,58.0,365,365,0
2834800_2834900,52.0,365,365,0
2936500_2936600,56.0,365,0,365
3717000_3717100,66.0,365,365,0
3727100_3727200,47.0,365,0,365
1525000_1525100,49.0,364,0,364
3985400_3985500,64.0,364,364,0
3127300_3127400,46.0,363,363,0
4144000_4144100,45.0,363,363,0
1105100_1105200,51.0,362,362,0
1248600_1248700,47.0,362,0,362
2929600_2929700,56.0,362,362,0
3218100_3218200,51.0,362,0,362
4390600_4390700,47.0,362,362,0
1292600_1292700,50.0,361,361,0
3299800_3299900,64.0,361,18,1
790500_790600,62.0,361,0,361
24200_24300,67.0,359,359,0
2957200_2957300,65.0,359,0,359
3407000_3407100,51.0,359,359,0
441600_441700,53.0,359,359,0
1716000_1716100,53.0,358,0,358
3273100_3273200,55.0,358,0,358
1026700_1026800,54.0,357,0,357
1630500_1630600,47.0,357,357,0
2952300_2952400,51.0,357,357,0
2962800_2962900,47.0,356,356,0
3418300_3418400,51.0,356,356,0
347000_347100,58.0,356,356,0
4281400_4281500,72.0,356,0,356
4434500_4434600,50.0,356,0,356
4439600_4439700,49.0,356,0,356
600500_600600,45.0,356,356,0
1782500_1782600,48.0,355,0,355
2813600_2813700,53.0,355,355,0
3400300_3400400,63.0,355,355,0
358800_358900,51.0,355,355,0
3927800_3927900,51.0,355,355,0
57200_57300,47.0,355,355,0
2125900_2126000,52.0,354,354,0
2294300_2294400,63.0,354,0,354
3417700_3417800,48.0,354,354,0
717200_717300,46.0,354,0,354
2390700_2390800,70.0,353,353,0
45300_45400,46.0,353,353,0
75900_76000,38.0,353,0,353
961800_961900,52.0,353,0,353
2952000_2952100,54.0,352,352,0
3997300_3997400,47.0,352,352,0
1537200_1537300,53.0,351,0,351
81800_81900,47.0,351,0,351
3364600_3364700,48.0,350,0,350
3902900_3903000,42.0,350,350,0
3921800_3921900,49.0,350,350,0
4145900_4146000,49.0,350,0,350
1460000_1460100,41.0,349,0,349
3334100_3334200,46.0,349,349,0
3954100_3954200,41.0,349,349,0
1600300_1600400,56.0,348,0,348
1656900_1657000,47.0,348,0,348
3621400_3621500,49.0,348,0,348
3675700_3675800,55.0,348,348,0
3787400_3787500,53.0,348,348,0
4149300_4149400,54.0,348,0,348
4387600_4387700,63.0,348,0,348
564000_564100,49.0,348,0,348
1454300_1454400,47.0,347,347,0
1618400_1618500,48.0,347,347,0
4139000_4139100,48.0,347,347,0
736800_736900,48.0,347,347,0
1624600_1624700,56.0,346,346,0
2900000_2900100,53.0,346,0,346
3501200_3501300,42.0,346,346,0
4440300_4440400,57.0,346,346,0
2960000_2960100,76.0,345,345,0
391100_391200,43.0,345,345,0
4509700_4509800,47.0,345,0,345
1164000_1164100,49.0,344,344,0
118100_118200,48.0,344,0,344
4284000_4284100,51.0,344,344,0
3704000_3704100,61.0,343,343,0
3723800_3723900,52.0,343,343,0
4323100_4323200,49.0,343,343,0
4422100_4422200,61.0,343,0,343
2140100_2140200,51.0,342,342,0
2458500_2458600,50.0,342,342,0
3632300_3632400,64.0,342,0,342
1635800_1635900,55.0,341,0,341
4387300_4387400,64.0,341,0,341
465200_465300,42.0,341,341,0
1201400_1201500,51.0,340,0,340
1693100_1693200,57.0,340,340,0
4515100_4515200,48.0,340,340,0
2432500_2432600,61.0,339,0,339
2693500_2693600,44.0,339,0,339
3495000_3495100,67.0,339,0,339
1066200_1066300,41.0,338,338,0
4098100_4098200,51.0,338,0,338
413100_413200,55.0,338,338,0
1831500_1831600,47.0,337,337,0
2624800_2624900,71.0,337,337,0
2760500_2760600,65.0,337,337,0
3492100_3492200,45.0,337,0,337
3873700_3873800,50.0,337,0,337
3897500_3897600,52.0,337,0,337
4129100_4129200,59.0,337,337,0
433100_433200,45.0,337,337,0
4359900_4360000,52.0,337,337,0
832900_833000,63.0,337,0,337
1874500_1874600,43.0,336,336,0
1986700_1986800,40.0,336,336,0
2197200_2197300,64.0,336,0,336
2539200_2539300,60.0,336,336,0
3338200_3338300,52.0,336,336,0
3893200_3893300,38.0,336,336,0
4331300_4331400,51.0,336,336,0
1123800_1123900,58.0,335,335,0
1869000_1869100,55.0,335,0,335
2532900_2533000,46.0,335,0,335
3447400_3447500,51.0,335,0,335
1383100_1383200,56.0,334,334,0
2364600_2364700,59.0,334,334,0
329300_329400,58.0,334,334,0
1900500_1900600,48.0,333,333,0
3744400_3744500,56.0,333,0,333
3562800_3562900,50.0,332,332,0
2624500_2624600,63.0,331,0,331
335100_335200,48.0,331,331,0
2039800_2039900,45.0,330,330,0
3283600_3283700,54.0,330,0,330
3398800_3398900,41.0,330,330,0
412100_412200,61.0,330,0,330
4347200_4347300,44.0,330,330,0
951400_951500,53.0,330,330,0
2782400_2782500,43.0,329,329,0
3105200_3105300,45.0,329,0,329
3951600_3951700,66.0,329,329,0
4251100_4251200,58.0,329,329,0
701700_701800,45.0,329,0,329
2220900_2221000,43.0,328,328,0
3250600_3250700,58.0,328,0,328
3665500_3665600,76.0,328,328,0
4130800_4130900,41.0,328,328,0
4260400_4260500,51.0,328,0,328
4513200_4513300,59.0,328,0,328
539300_539400,69.0,328,0,328
874600_874700,61.0,328,328,0
3872100_3872200,44.0,327,327,0
517500_517600,53.0,327,327,0
1285100_1285200,62.0,326,326,0
170000_170100,50.0,326,326,0
2724200_2724300,66.0,326,326,0
4199600_4199700,40.0,326,0,326
1868100_1868200,51.0,325,0,325
3109800_3109900,46.0,325,325,0
3894500_3894600,79.0,325,0,325
2139500_2139600,45.0,324,324,0
2398100_2398200,55.0,324,17,1
3216800_3216900,60.0,324,324,0
363600_363700,48.0,324,324,0
433000_433100,53.0,324,13,5
4524200_4524300,50.0,324,324,0
1624100_1624200,53.0,323,323,0
3403900_3404000,53.0,323,0,323
3575600_3575700,49.0,323,0,323
4186600_4186700,47.0,323,323,0
4291600_4291700,57.0,323,0,323
379200_379300,53.0,322,0,322
1062600_1062700,48.0,321,0,321
3181500_3181600,50.0,321,321,0
3666600_3666700,60.0,321,321,0
3714500_3714600,39.0,321,321,0
3755200_3755300,59.0,321,321,0
4353500_4353600,54.0,321,0,321
2705600_2705700,41.0,320,0,320
3002100_3002200,52.0,320,320,0
4197400_4197500,43.0,320,320,0
4251500_4251600,53.0,320,320,0
1243400_1243500,50.0,319,319,0
2037200_2037300,50.0,319,319,0
2097000_2097100,53.0,319,0,319
2386100_2386200,47.0,319,0,319
3075200_3075300,50.0,319,0,319
3533800_3533900,47.0,319,0,319
3724700_3724800,60.0,319,319,0
38000_38100,45.0,319,0,319
4259900_4260000,63.0,319,0,319
3918300_3918400,52.0,318,0,318
42500_42600,53.0,318,0,318
1832500_1832600,53.0,317,0,317
2130500_2130600,45.0,317,0,317
2749600_2749700,53.0,317,0,317
2904900_2905000,48.0,317,0,317
4138900_4139000,55.0,317,317,0
802000_802100,55.0,317,317,0
1641700_1641800,47.0,316,316,0
1922200_1922300,53.0,316,316,0
3140100_3140200,48.0,316,316,0
476100_476200,59.0,316,0,316
1352500_1352600,46.0,315,315,0
1757400_1757500,69.0,315,0,315
2083700_2083800,57.0,315,0,315
2421100_2421200,39.0,315,0,315
2824900_2825000,51.0,315,315,0
303700_303800,52.0,315,0,315
3067000_3067100,51.0,315,315,0
3591400_3591500,41.0,315,0,315
3723400_3723500,53.0,315,0,315
916300_916400,45.0,315,315,0
2623700_2623800,58.0,314,0,314
2634700_2634800,43.0,314,0,314
4434700_4434800,52.0,314,0,314
2652900_2653000,42.0,313,313,0
3445600_3445700,54.0,313,0,313
3544100_3544200,51.0,313,313,0
3573500_3573600,46.0,313,0,313
3924000_3924100,53.0,313,0,313
697000_697100,61.0,313,0,313
1395400_1395500,55.0,312,0,312
1528200_1528300,58.0,312,0,312
3119500_3119600,53.0,312,0,312
3364000_3364100,45.0,312,312,0
3782500_3782600,54.0,312,312,0
431100_431200,48.0,312,0,312
4347100_4347200,49.0,312,312,0
1184700_1184800,61.0,311,311,0
1580800_1580900,58.0,311,0,311
2353100_2353200,48.0,311,311,0
2576900_2577000,53.0,311,311,0
3036000_3036100,59.0,311,0,311
3081900_3082000,53.0,311,0,311
3203400_3203500,58.0,311,0,311
3727600_3727700,52.0,311,0,311
4008000_4008100,42.0,311,311,0
4176500_4176600,69.0,311,0,311
4326000_4326100,44.0,311,0,311
2837100_2837200,59.0,310,0,310
2169000_2169100,49.0,309,0,309
3982900_3983000,50.0,309,309,0
4280300_4280400,56.0,309,309,0
4285300_4285400,52.0,309,309,0
63900_64000,47.0,309,309,0
2217400_2217500,49.0,308,308,0
2714300_2714400,54.0,308,308,0
3403200_3403300,48.0,308,308,0
3495900_3496000,66.0,308,308,0
3612100_3612200,48.0,308,308,0
1936400_1936500,48.0,307,0,307
3247200_3247300,52.0,307,0,307
3489100_3489200,47.0,307,0,307
2226800_2226900,49.0,306,306,0
3498100_3498200,49.0,306,306,0
3557500_3557600,61.0,306,306,0
3821500_3821600,41.0,306,0,306
1514000_1514100,47.0,305,305,0
2962600_2962700,73.0,305,0,305
3035900_3036000,62.0,305,0,305
4420300_4420400,49.0,305,0,305
73800_73900,43.0,305,305,0
905200_905300,55.0,305,0,305
2809100_2809200,49.0,304,0,304
3631000_3631100,71.0,304,0,304
3918500_3918600,46.0,304,0,304
987700_987800,51.0,304,0,304
2931400_2931500,47.0,303,303,0
2964700_2964800,57.0,303,0,303
3006700_3006800,51.0,303,303,0
4550300_4550400,42.0,303,303,0
3425800_3425900,54.0,302,302,0
4361400_4361500,61.0,302,302,0
4486800_4486900,65.0,302,302,0
2565900_2566000,47.0,301,301,0
4035300_4035400,53.0,301,0,301
415300_415400,48.0,301,301,0
1043000_1043100,46.0,300,0,300
1768600_1768700,45.0,300,0,300
4316400_4316500,42.0,300,300,0
4384500_4384600,52.0,300,0,300
3367700_3367800,53.0,299,299,0
1611800_1611900,42.0,298,298,0
1882400_1882500,56.0,298,298,0
2129400_2129500,48.0,298,0,298
3510900_3511000,61.0,298,0,298
3921100_3921200,43.0,298,0,298
45100_45200,39.0,298,298,0
1668300_1668400,53.0,297,0,297
3219700_3219800,48.0,297,297,0
4307100_4307200,49.0,297,297,0
4317800_4317900,56.0,297,0,297
1798900_1799000,50.0,296,296,0
1980900_1981000,47.0,296,0,296
3615100_3615200,48.0,296,0,296
3950100_3950200,57.0,296,296,0
4280100_4280200,38.0,296,296,0
578900_579000,45.0,296,0,296
2467800_2467900,46.0,295,295,0
3703500_3703600,63.0,295,0,295
4141800_4141900,51.0,295,295,0
1611200_1611300,48.0,294,294,0
2831100_2831200,59.0,294,0,294
2948300_2948400,57.0,294,0,294
3196600_3196700,54.0,294,0,294
3730500_3730600,50.0,294,294,0
448000_448100,48.0,294,294,0
4490100_4490200,49.0,294,294,0
1243200_1243300,40.0,293,293,0
2002100_2002200,71.0,293,0,293
3790300_3790400,48.0,293,293,0
3994600_3994700,54.0,293,293,0
1218200_1218300,58.0,292,0,292
1682900_1683000,64.0,292,292,0
3362300_3362400,42.0,292,292,0
3840000_3840100,53.0,292,292,0
533200_533300,65.0,292,0,292
1322000_1322100,53.0,291,291,0
2310200_2310300,56.0,291,0,291
412500_412600,66.0,291,0,291
1312100_1312200,59.0,290,290,0
1737300_1737400,43.0,290,0,290
3676100_3676200,48.0,290,290,0
4322900_4323000,51.0,290,290,0
49100_49200,44.0,290,0,290
724400_724500,44.0,290,0,290
1121900_1122000,66.0,288,288,0
1144100_1144200,49.0,288,288,0
1086400_1086500,40.0,287,287,0
1291200_1291300,46.0,287,287,0
1778300_1778400,56.0,287,287,0
2246700_2246800,43.0,287,287,0
3981500_3981600,48.0,287,0,287
4047900_4048000,48.0,287,0,287
497000_497100,63.0,287,287,0
1853800_1853900,70.0,286,0,286
2346000_2346100,44.0,286,0,286
2905900_2906000,50.0,286,0,286
2999800_2999900,51.0,286,286,0
4190800_4190900,47.0,286,0,286
2494100_2494200,76.0,285,285,0
443300_443400,49.0,285,285,0
2440900_2441000,43.0,284,284,0
2768400_2768500,46.0,284,0,284
1182900_1183000,51.0,283,0,283
1322800_1322900,50.0,283,283,0
2909900_2910000,55.0,283,0,283
3685600_3685700,60.0,283,283,0
3967900_3968000,66.0,283,283,0
1641300_1641400,62.0,282,0,282
1999600_1999700,63.0,282,0,282
45800_45900,53.0,282,0,282
469600_469700,49.0,282,282,0
901000_901100,55.0,282,0,282
907700_907800,64.0,282,282,0
1200100_1200200,62.0,281,281,0
1434200_1434300,50.0,281,281,0
2309800_2309900,45.0,281,0,281
2678400_2678500,46.0,281,0,281
3099600_3099700,42.0,281,0,281
4052400_4052500,52.0,281,281,0
4361600_4361700,48.0,281,281,0
1250300_1250400,43.0,280,280,0
2890500_2890600,51.0,280,0,280
3700_3800,51.0,280,280,0
4348400_4348500,53.0,280,0,280
11700_11800,50.0,279,279,0
3708000_3708100,57.0,279,279,0
4465300_4465400,60.0,279,0,279
4521700_4521800,56.0,279,0,279
3175600_3175700,52.0,278,0,278
258400_258500,41.0,277,0,277
1087800_1087900,46.0,276,276,0
2148500_2148600,55.0,276,276,0
3364100_3364200,54.0,276,0,276
356400_356500,58.0,276,276,0
1034000_1034100,53.0,275,0,275
2510900_2511000,40.0,275,275,0
312700_312800,46.0,275,275,0
3642500_3642600,51.0,275,0,275
3721600_3721700,57.0,275,0,275
445600_445700,42.0,275,0,275
850300_850400,53.0,275,275,0
1748000_1748100,60.0,274,274,0
2096300_2096400,47.0,274,274,0
2641400_2641500,48.0,274,274,0
3669400_3669500,64.0,274,0,274
3791500_3791600,55.0,274,274,0
114200_114300,46.0,273,0,273
1950500_1950600,50.0,273,0,273
291200_291300,58.0,273,273,0
3191100_3191200,58.0,273,273,0
332200_332300,48.0,273,273,0
1499100_1499200,37.0,272,272,0
1844700_1844800,48.0,271,271,0
1875000_1875100,38.0,271,271,0
2624000_2624100,66.0,271,0,271
2719800_2719900,54.0,271,271,0
2845100_2845200,56.0,271,271,0
3190100_3190200,70.0,271,0,271
1584900_1585000,59.0,270,0,270
1702500_1702600,70.0,270,270,0
217000_217100,54.0,270,0,270
3654200_3654300,50.0,270,270,0
3672600_3672700,55.0,270,270,0
3951000_3951100,54.0,270,0,270
4382100_4382200,54.0,270,0,270
1288200_1288300,45.0,269,269,0
1951300_1951400,45.0,269,0,269
3327800_3327900,49.0,269,269,0
1268400_1268500,47.0,268,268,0
2275400_2275500,49.0,268,0,268
2682000_2682100,42.0,268,0,268
3005300_3005400,48.0,268,0,268
3266000_3266100,58.0,268,0,268
1235500_1235600,53.0,267,0,267
217500_217600,48.0,267,267,0
2409700_2409800,63.0,267,0,267
592800_592900,42.0,267,0,267
213100_213200,47.0,266,266,0
2311100_2311200,50.0,266,266,0
3033500_3033600,43.0,266,0,266
3406900_3407000,61.0,266,0,266
4486600_4486700,46.0,266,0,266
12400_12500,50.0,265,0,265
2977500_2977600,48.0,265,0,265
3003600_3003700,55.0,265,265,0
3644400_3644500,42.0,265,265,0
4358700_4358800,41.0,265,265,0
1834200_1834300,45.0,264,0,264
1918500_1918600,52.0,264,264,0
286200_286300,64.0,264,0,264
3030500_3030600,44.0,264,0,264
3462000_3462100,52.0,264,0,264
3939700_3939800,48.0,264,0,264
4516700_4516800,53.0,264,0,264
1037600_1037700,47.0,263,0,263
1471600_1471700,50.0,263,263,0
1811300_1811400,56.0,263,263,0
3386600_3386700,65.0,263,0,263
3986300_3986400,63.0,263,263,0
1028400_1028500,48.0,262,262,0
1300000_1300100,54.0,262,0,262
1776600_1776700,71.0,262,262,0
249900_250000,53.0,262,262,0
2953100_2953200,56.0,262,262,0
889100_889200,48.0,262,0,262
904500_904600,52.0,262,262,0
4396700_4396800,46.0,261,0,261
4411300_4411400,46.0,261,261,0
606600_606700,39.0,261,0,261
3129500_3129600,52.0,260,260,0
3927900_3928000,47.0,260,260,0
2171300_2171400,41.0,259,0,259
2875600_2875700,49.0,259,259,0
3572100_3572200,44.0,259,259,0
3825100_3825200,44.0,259,259,0
4270400_4270500,53.0,259,259,0
346500_346600,48.0,258,0,258
3904700_3904800,46.0,258,0,258
4319200_4319300,51.0,258,258,0
4387800_4387900,68.0,258,0,258
1229600_1229700,52.0,257,0,257
17300_17400,54.0,257,0,257
2118500_2118600,45.0,257,257,0
2285300_2285400,40.0,257,0,257
2838000_2838100,52.0,257,257,0
334700_334800,46.0,257,0,257
648000_648100,52.0,257,257,0
2854900_2855000,42.0,256,256,0
2930000_2930100,43.0,256,0,256
3234900_3235000,50.0,256,256,0
4303100_4303200,42.0,256,0,256
2808000_2808100,47.0,255,255,0
3605700_3605800,52.0,255,0,255
3777200_3777300,70.0,255,255,0
4023100_4023200,40.0,255,0,255
2732900_2733000,61.0,254,0,254
4028900_4029000,47.0,254,254,0
1758700_1758800,53.0,253,253,0
3163300_3163400,44.0,253,253,0
680200_680300,55.0,253,0,253
1160200_1160300,66.0,252,0,252
2787500_2787600,63.0,252,0,252
3025200_3025300,52.0,252,0,252
3151500_3151600,47.0,252,0,252
3396100_3396200,50.0,252,0,252
3516700_3516800,59.0,252,252,0
357400_357500,62.0,252,0,252
3669100_3669200,76.0,252,0,252
2066800_2066900,66.0,251,0,251
3189500_3189600,61.0,251,0,251
3718900_3719000,55.0,251,0,251
4413700_4413800,54.0,251,251,0
87900_88000,50.0,251,251,0
1195200_1195300,48.0,250,0,250
1301400_1301500,61.0,250,250,0
1889600_1889700,52.0,250,0,250
3118600_3118700,67.0,250,0,250
1121800_1121900,63.0,249,249,0
1130300_1130400,50.0,249,249,0
1788600_1788700,55.0,249,249,0
3334400_3334500,51.0,249,0,249
3874800_3874900,46.0,249,0,249
4424700_4424800,52.0,249,249,0
1851600_1851700,42.0,248,0,248
3176100_3176200,46.0,248,0,248
1626200_1626300,46.0,247,0,247
2233200_2233300,38.0,247,247,0
2340800_2340900,46.0,247,247,0
3124600_3124700,50.0,247,247,0
591400_591500,39.0,247,247,0
822000_822100,66.0,247,0,247
3642900_3643000,49.0,246,0,246
3675300_3675400,63.0,246,0,246
3986400_3986500,57.0,246,246,0
4065400_4065500,47.0,246,0,246
2131900_2132000,44.0,245,245,0
2867100_2867200,54.0,245,245,0
90700_90800,61.0,245,245,0
934100_934200,36.0,245,0,245
1709000_1709100,68.0,244,244,0
3324000_3324100,47.0,244,0,244
3404200_3404300,56.0,244,0,244
371400_371500,48.0,244,244,0
3895000_3895100,72.0,244,0,244
4360300_4360400,49.0,244,244,0
1601200_1601300,54.0,243,243,0
2723100_2723200,46.0,243,0,243
3067200_3067300,52.0,243,0,243
316600_316700,43.0,243,0,243
3458600_3458700,44.0,243,243,0
3788000_3788100,58.0,243,243,0
2100100_2100200,53.0,242,0,242
3084700_3084800,43.0,242,0,242
3987100_3987200,46.0,242,0,242
4351900_4352000,56.0,242,0,242
460900_461000,43.0,242,0,242
240900_241000,56.0,241,241,0
3072600_3072700,56.0,241,241,0
3172000_3172100,48.0,241,241,0
3635100_3635200,63.0,241,241,0
3706400_3706500,53.0,241,0,241
166800_166900,47.0,240,0,240
261400_261500,45.0,240,240,0
2772200_2772300,61.0,240,0,240
3057800_3057900,60.0,240,0,240
3459000_3459100,40.0,240,0,240
3651900_3652000,50.0,240,0,240
397300_397400,47.0,240,0,240
1062700_1062800,52.0,239,0,239
1091000_1091100,61.0,239,0,239
2566600_2566700,73.0,239,0,239
3734900_3735000,44.0,239,239,0
4292900_4293000,38.0,239,0,239
562100_562200,53.0,239,0,239
1208700_1208800,67.0,238,238,0
1840000_1840100,48.0,238,238,0
1956400_1956500,63.0,238,238,0
294500_294600,61.0,238,238,0
3839500_3839600,55.0,238,238,0
3858300_3858400,50.0,238,238,0
4000400_4000500,52.0,238,238,0
668900_669000,55.0,238,0,238
1789200_1789300,71.0,237,237,0
1967200_1967300,63.0,237,0,237
2655600_2655700,52.0,237,237,0
2835800_2835900,52.0,237,237,0
304600_304700,47.0,237,0,237
1143800_1143900,46.0,236,0,236
1292900_1293000,50.0,236,0,236
159500_159600,48.0,236,236,0
2383600_2383700,44.0,236,236,0
2848900_2849000,49.0,236,236,0
2940700_2940800,47.0,236,236,0
2953600_2953700,65.0,236,236,0
3317900_3318000,48.0,236,236,0
3886300_3886400,44.0,236,0,236
4011700_4011800,44.0,236,0,236
4345200_4345300,46.0,236,0,236
